codigo,dgenerica,despecifica,dabreviada,regimen,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,latitud,longitud
12000819,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CERVANTES,CEIP CERVANTES,Púb.,CL,CONCEPCIÓN ARENAL,2,12004,CASTELLÓ DE LA PLANA,Castelló,964558960,964558961,"39,98909","-0,041392"
12004308,ESCOLA D'ART I SUPERIOR DE DISSENY,,ESCOLA D'ART I SUPERIOR DE DISSENY,Púb.,PZ,FADRELL,1,12002,CASTELLÓ DE LA PLANA,Castelló,964399445,964399446,"39,98236","-0,035051"
12004242,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,GAETA HUGUET,CEIP GAETA HUGUET,Púb.,AV,DE BARCELONA,6,12004,CASTELLÓ DE LA PLANA,Castelló,964739310,964739311,"39,99048","-0,044836"
12001241,CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL,COSTA DE AZAHAR,CIPFP COSTA DE AZAHAR,Púb.,AV,FERRANDIS SALVADOR,10,12100,CASTELLÓ DE LA PLANA GRAU DE CASTELLÓ,Castelló,964738890,964738891,"39,98049","0,018856"
03010405,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JULIO M.LÓPEZ OROZCO,CEIP JULIO M.LÓPEZ OROZCO,Púb.,AV,DE LES CORTS VALENCIANES,S/N,3205,ELX,Alacant,966913140,966913141,"38,27019","-0,717976"
03005859,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANTÍSIMO CRISTO,CEIP SANTÍSIMO CRISTO,Púb.,CL,CUESTA GRUPO ESCOLAR,S/N,3740,GATA DE GORGOS,Alacant,966428825,966428826,"38,77047","0,083717"
03006301,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ELOY COLOMA,CEIP ELOY COLOMA,Púb.,AV,DE LA CONSTITUCIÓN,S/N,3100,XIXONA,Alacant,966908170,966908171,"38,5421","-0,505993"
03006335,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FRANCISCO CLOQUELL,CEIP FRANCISCO CLOQUELL,Púb.,CL,LA SAFOR,S/N,3860,ORXA (L'),Alacant,966527530,966527531,"38,84405","-0,30943"
46000249,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,CENTRE PRIVAT SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,Priv.,PZ,DE LA IGLESIA,10,46470,ALBAL,València,961261984,961266426,"39,39709","-0,414712"
46001114,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTA ANA,CENTRE PRIVAT SANTA ANA,Priv.,CL,MARE MARÍA RAFOLS,16,46680,ALGEMESÍ,València,962482300,962483800,"39,19421","-0,429304"
46000547,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADA FAMILIA,CENTRE PRIVAT SAGRADA FAMILIA,Priv.,CL,SAGRADA FAMILIA,38,46600,ALZIRA,València,962404581,962401869,"39,15859","-0,425307"
46001849,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",CRISTO REY,CENTRE PRIVAT CRISTO REY,Priv.,CL,SAN VICENTE,7,46450,BENIFAIÓ,València,961780222,961795644,"39,28654","-0,428444"
46002623,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",MARÍA INMACULADA,CENTRE PRIVAT MARÍA INMACULADA,Priv.,CL,MARTÍN TALENS,23,46740,CARCAIXENT,València,962432166,962461204,"39,12188","-0,447649"
46002659,CENTRE PRIVAT E. PRIMÀRIA I SECUNDÀRIA,SAN ANTONIO DE PADUA,CENTRE PRIVAT SAN ANTONIO DE PADUA,Priv.,CL,SANTA ANA,2,46740,CARCAIXENT,València,962430250,962461186,"39,12107","-0,45207"
46003342,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA MILAGROSA,CENTRE PRIVAT LA MILAGROSA,Priv.,CL,CERVANTES,18,46400,CULLERA,València,961720231,961738005,"39,16553","-0,257792"
46014194,CENTRE PRIVAT D'EDUCACIÓ ESPECIAL,AUXILIA,CEE PRIV. AUXILIA,Priv.,CL,GRAVADOR FABREGAT,5-B,46019,VALENCIA,València,963725082,963553143,"39,49652","-0,372666"
03013741,CONSERVATORI ELEMENTAL DE MÚSICA,MESTRE BERENGUER,CONSERVATORI ELEMENTAL DE MÚSICA MESTRE BERENGUER,Púb.,CL,COLÓN,45,3725,TEULADA,Alacant,965740488,965740166,"38,7285","0,101693"
46016841,CENTRE AUT. D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS D'ARTS PLÀSTIQUES I DISSENY,BARREIRA ARTE Y DISEÑO,CENTRE ENS. ARTIST. PROFESSIONALS  BARREIRA ARTE Y DISEÑO,Priv.,CL,SAN JACINTO,1,46008,VALENCIA,València,961130354,961130359,"39,47549","-0,389411"
46011028,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",CLARET,CENTRE PRIVAT CLARET,Priv.,CL,SOLEDAD DOMENECH,8-12,46020,VALENCIA,València,963694351,963694351,"39,48407","-0,361851"
46012896,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,ESCUELA PROFESIONAL XAVIER,CENTRE PRIVAT FP ESCUELA PROFESIONAL XAVIER,Priv.,CL,PINTOR LÓPEZ,8,46003,VALENCIA,València,963918200,963915064,"39,47813","-0,373052"
46011387,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",ESCUELAS PÍAS-MALVARROSA,CENTRE PRIVAT ESCUELAS PÍAS-MALVARROSA,Priv.,CL,GRAN CANARIA,15,46011,VALENCIA,València,963716277,963724041,"39,48178","-0,329457"
46010243,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",INMACULADO CORAZÓN DE MARÍA,CENTRE PRIVAT INMACULADO CORAZÓN DE MARÍA,Priv.,CL,GONZÁLEZ MARTÍ,4,46008,VALENCIA,València,963821350,963859370,"39,47375","-0,393716"
46011922,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",JESÚS MARÍA-FUENSANTA,CENTRE PRIVAT JESÚS MARÍA-FUENSANTA,Priv.,PZ,MURCIA,10,46014,VALENCIA,València,963793251,963140724,"39,46468","-0,409772"
46010747,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",MARÍA INMACULADA,CENTRE PRIVAT MARÍA INMACULADA,Priv.,CL,RICARDO MICO,26,46009,VALENCIA,València,963406143,963403106,"39,48355","-0,387472"
46011314,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA PURÍSIMA,CENTRE PRIVAT LA PURÍSIMA,Priv.,CL,JOSÉ AGUIRRE,30-33,46011,VALENCIA,València,963670258,963670258,"39,46182","-0,334097"
46007670,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JOSÉ ROMEU,CEIP JOSÉ ROMEU,Púb.,CL,ALORCO,42,46500,SAGUNT,València,962617330,962617331,"39,68024","-0,271975"
46007581,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BALADRE,CEIP BALADRE,Púb.,CL,JUAN MARTORELL,2,46520,SAGUNT PUERTO SAGUNTO (EL),València,962617320,962617321,"39,672","-0,241882"
46016531,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,VICENTE BLASCO IBÁÑEZ,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,CL,GALILEO,S/N,46380,CHESTE,València,961808375,961808376,"39,49708","-0,682794"
46007517,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CERVANTES,CEIP CERVANTES,Púb.,AV,9 DE OCTUBRE,15,46520,SAGUNT PUERTO SAGUNTO (EL),València,962617310,962617311,"39,6605","-0,2248"
46015666,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VICTORIA Y JOAQUÍN RODRIGO,CEIP VICTORIA Y JOAQUIN RODRIGO,Púb.,AV,JUAN DE AUSTRIA,S/N,46520,SAGUNT PUERTO SAGUNTO (EL),València,962617350,962617351,"39,66481","-0,236131"
46017641,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VICENTE PLA PAREDES,CEIP VICENTE PLA PAREDES,Púb.,CL,ERNESTO ANDREU MINGUET,S/N,46910,SEDAVÍ,València,961205110,961205111,"39,42687","-0,38052"
46008017,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,RAMÓN LAPORTA,CEIP RAMÓN LAPORTA,Púb.,AV,RAMON LAPORTA,S/N,46320,SINARCAS,València,962169115,962169116,"39,73328","-1,232922"
46011491,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",TRAFALGAR,CENTRE PRIVAT TRAFALGAR,Priv.,CL,RODRIGO PERTEGAZ,29,46023,VALENCIA,València,963302494,963360873,"39,46148","-0,342852"
03012013,CENTRE D'EDUCACIÓ ESPECIAL,COMARCAL RAQUEL PAYA,CEE PÚB. COMARCAL RAQUEL PAYA,Púb.,PD,MADRIGUERES SUD,74,3700,DÉNIA,Alacant,966428880,966428881,"38,83718","0,096602"
03012268,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BERNAT DE SARRIÀ,CEIP BERNAT DE SARRIÀ,Púb.,CM,MIRANTBÓ,S/N,3510,CALLOSA D'EN SARRIÀ,Alacant,966870785,966870786,"38,65455","-0,119562"
03012360,ESCOLA PÚBLICA DE MÚSICA I DANSA,MUNICIPAL,E. DE MÚSICA I DANSA MUNICIPAL,Púb.,AV,DE LA CONSTITUCIÓN,20,3430,ONIL,Alacant,965564259,965564131,"38,6302","-0,672591"
03012505,CONSERVATORI PROFESSIONAL DE MÚSICA,D'ALTEA,CONSERVATORI PROFESSIONAL DE MÚSICA D'ALTEA,Púb.,CL,INGENIERO MUÑOZ,14,3590,ALTEA,Alacant,965845844,965845844,"38,59726","-0,051721"
03016250,ESCOLA EUROPEA,DE ALICANTE,ESCUELA EUROPEA DE ALICANTE,Púb.,AV,LOCUTOR VICENTE HIPÓLITO,S/N,3540,ALACANT,Alacant,965269595,965269777,"38,37305","-0,431406"
46026147,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL EL SOLET,EI 1er CICLE MUNICIPAL EL SOLET,Púb.,CL,TRAPIG ESQUINA CL. LES ESCOLES,S/N,46790,XERESA,València,962895422,,"39,01203","-0,216454"
46026159,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL,EI 1er CICLE MUNICIPAL,Púb.,CL,PINTOR SOROLLA,7,46016,TAVERNES BLANQUES,València,961861363,963387009,"39,51053","-0,365628"
46026160,INSTITUT D'EDUCACIÓ SECUNDÀRIA,MARÍA CARBONELL I SÁNCHEZ,IES MARÍA CARBONELL I SÁNCHEZ,Púb.,CL,DE L'ESPORT,1,46910,BENETÚSSER,València,961206320,961206321,"39,41968","-0,401417"
12006238,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,MULTIMÁTICA DEL MEDITERRÁNEO,CENTRE PRIVAT FP MULTIMÁTICA DEL MEDITERRÁNEO,Priv.,CL,MUSEROS,10,12005,CASTELLÓ DE LA PLANA,Castelló,964260006,964229447,"39,97866","-0,03282"
46026184,ESCOLA INFANTIL DE PRIMER CICLE,PRADA,EI 1er CICLE PRADA,Púb.,CL,PADRE ESTANISLAO,23,46610,GUADASSUAR,València,962457805,962457806,"39,18961","-0,480008"
03016316,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,CENTRO POLIVALENTE SOCIAL Y EDUCATIVO,CENTRE PRIVAT FP CENTRO POLIVALENTE SOCIAL Y EDUCATIVO,Priv.,CL,SAN LORENZO,19,3007,ALACANT,Alacant,637124318,966086691,"38,34125","-0,51341"
46024965,SECCIÓ D'EDUCACIÓ SECUNDÀRIA,DE L'IES HENRI MATISSE A PATERNA - LA CAÑADA,SECCIÓ DE L'IES HENRI MATISSE A PATERNA - LA CAÑADA,Púb.,CL,434,S/N,46182,PATERNA CAÑADA (LA),València,961206340,961206341,"39,52057","-0,478317"
46024096,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CAMP DE TÚRIA,CEIP CAMP DE TURIA,Púb.,AV,DEL PAÍS VALENCIÀ,86,46117,BÉTERA,València,961606950,961606951,"39,58712","-0,460701"
46024138,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,HADA UN MUNDO MÁGICO,CENTRE PRIV. ED. INFANTIL HADA UN MUNDO MÁGICO,Priv.,CL,MALVARROSA,1,46183,ELIANA (L'),València,962743891,,"39,56161","-0,550248"
46024141,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,"ISFE, ESCUELA VALENCIANA DE INFORMÁTICA","CENTRE PRIVAT FP ISFE, ESCUELA VALENCIANA DE INFORMÁTICA",Priv.,CL,RAMON LLULL,5,46021,VALENCIA,València,963624500,,"39,47519","-0,347604"
03015531,SECCIÓ D'EDUCACIÓ SECUNDÀRIA,DE L'IES SAN VICENTE A AGOST,SECCIÓ DE L'IES SAN VICENTE A AGOST,Púb.,AV,DE ELDA,3-5,3698,AGOST,Alacant,966908130,966908131,"38,43837","-0,641596"
03015543,INSTITUT D'EDUCACIÓ SECUNDÀRIA,EL PLA,IES EL PLA,Púb.,AV,CIUDAD LEÓN DE NICARAGUA,8,3015,ALACANT,Alacant,965936530,965936531,"38,36095","-0,468834"
46024163,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PETETE,CENTRE PRIV. ED. INF. 1er CICLE PETETE,Priv.,CL,FLORISTA,7-B,46015,VALENCIA,València,963407560,963480803,"39,49012","-0,391474"
46024175,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL EL CARAGOL,EI 1er CICLE MUNICIPAL EL CARAGOL,Púb.,CL,BARRANCO,67,46780,OLIVA,València,962850668,,"38,91926","-0,124538"
46024187,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,SAN PASCUAL BAYLÓN,CENTRE PRIV. ED. INFANTIL SAN PASCUAL BAYLÓN,Priv.,CL,DOCTOR MOLINER,10,46010,VALENCIA,València,963695663,963695663,"39,47638","-0,362667"
46024205,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,NATURA,CENTRE PRIV. ED. INFANTIL NATURA,Priv.,CL,DOLORES ALCAIDE,14,46007,VALENCIA,València,963215367,961504563,"39,45649","-0,385294"
46024242,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BAMBI,CENTRE PRIV. ED. INF. 1er CICLE BAMBI,Priv.,CL,PINTOR SALVADOR ABRIL,41,46005,VALENCIA,València,963735598,963735598,"39,46136","-0,368986"
46024345,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,DAMA DE ELCHE,CENTRE PRIV. ED. INF. 1er CICLE DAMA DE ELCHE,Priv.,CL,DAMA DE ELCHE,14,46023,VALENCIA,València,963255767,,"39,46208","-0,34326"
46024357,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,LA ESTRELLA,CENTRE PRIV. ED. INF. 1er CICLE LA ESTRELLA,Priv.,CL,PEDRO ALEXANDRE,12-BA,46006,VALENCIA,València,963339315,963339315,"39,46082","-0,364029"
03015658,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL DON CRISPÍN,EI 1er CICLE MUNICIPAL DON CRISPÍN,Púb.,CL,SAX,9,3205,ELX,Alacant,965446205,,"38,27431","-0,720193"
46024382,SECCIÓ D'EDUCACIÓ SECUNDÀRIA,DE L'IES SIVERA FONT A L'ALCÚDIA DE CRESPINS,SECCIÓ DE L'IES SIVERA FONT A L'ALCÚDIA DE CRESPINS,Púb.,CL,SENYERA,1,46690,ALCÚDIA DE CRESPINS (L'),València,962249105,962249106,"38,97044","-0,594206"
46024394,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,LA GRANOTA,CENTRE PRIV. ED. INF. 1er CICLE LA GRANOTA,Priv.,CL,POETA ESPRONCEDA,S/N,46900,TORRENT,València,961553913,,"39,43803","-0,461125"
46024424,INSTITUT D'EDUCACIÓ SECUNDÀRIA,,IES D'ALCÀSSER,Púb.,AV,CORTS VALENCIANES,51,46290,ALCÀSSER,València,961230860,961230857,"39,36824","-0,440269"
46024436,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,CAP I CUA,CENTRE PRIV. ED. INF. 1er CICLE CAP I CUA,Priv.,CL,EL SALVADOR,18,46900,TORRENT,València,961572071,961572071,"39,43479","-0,471138"
12005921,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","LLEDÓ, INTERNATIONAL SCHOOL","CENTRE PRIVAT LLEDÓ, INTERNATIONAL SCHOOL",Priv.,CM,CAMINÀS,175,12003,CASTELLÓ DE LA PLANA,Castelló,964723170,964723171,"40,00106","-0,021511"
03006955,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,NUESTRA SEÑORA DEL PILAR,CEIP NUESTRA SEÑORA DEL PILAR,Púb.,CL,VEGA BAJA,S/N,3325,ORIHUELA CAMPANETA (LA),Alacant,966748335,966748336,"38,08778","-0,894239"
46024977,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL REAL DE GANDIA ,EI 1er CICLE MUNICIPAL REAL DE GANDÍA,Púb.,AV,GERMANIES,S/N,46727,REAL DE GANDÍA,València,962875195,962876824,"38,94918","-0,190555"
03015920,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL ELS PEIXOS,EI 1er CICLE MUNICIPAL ELS PEIXOS,Púb.,CL,ALICANTE,33,3610,PETRER,Alacant,965375406,966951160,"38,48402","-0,78654"
46024990,INSTITUT D'EDUCACIÓ SECUNDÀRIA,EL QUINT,IES EL QUINT,Púb.,CM,DE LES ÀNIMES,S/N,46190,RIBA-ROJA DE TÚRIA,València,962718355,962718356,"39,54818","-0,562261"
03015932,INSTITUT D'EDUCACIÓ SECUNDÀRIA,NÚMERO 3,IES NÚMERO 3,Púb.,CL,HÍADES,10,3700,DÉNIA,Alacant,966428235,966428236,"38,83277","0,114136"
46025039,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,JESÚS NIÑO,CENTRE PRIV. ED. INF. 1er CICLE JESÚS NIÑO,Priv.,CL,MAESTRO CHAPÍ,28,46100,BURJASSOT,València,963902766,963623880,"39,50349","-0,415927"
46024539,CENTRE AUTORITZAT ELEMENTAL DE DANSA,ESCUELA TALLER DE DANZA,CENTRE ELEMENTAL DE DANSA ESCUELA TALLER DE DANZA,Priv.,CL,PADRE CARLOS FERRÍS,52,46702,GANDIA,València,962872910,,"38,96181","-0,184628"
46024072,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANT ISIDRE,CEIP SANT ISIDRE,Púb.,CL,ANDREU ALABARTA,43,46014,VALENCIA,València,961205510,961205511,"39,4514","-0,403061"
46024084,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,HUMANISTA MARINER,CEIP HUMANISTA MARINER,Púb.,CL,HUMANISTA MARINER,S/N,46014,VALENCIA,València,961205495,961205496,"39,45963","-0,394435"
46024254,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,EL COLE,CENTRE PRIV. ED. INF. 1er CICLE EL COLE,Priv.,CM,VIEJO DE XIRIVELLA,31,46014,VALENCIA,València,963599218,,"39,4725","-0,410905"
46023675,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,REDOLINS,CENTRE PRIV. ED. INF. 1er CICLE REDOLINS,Priv.,AV,CONSTITUCIÓN,221,46019,VALENCIA,València,963652000,963652000,"39,49572","-0,371454"
46024281,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,ANAIA,CENTRE PRIV. ED. INF. 1er CICLE  ANAIA,Priv.,CL,JOSÉ DE ORGA,7,46022,VALENCIA,València,963724573,963724573,"39,47033","-0,345155"
46024291,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,EL OSITO AZUL,CENTRE PRIV. ED. INF. 1er CICLE EL OSITO AZUL,Priv.,CL,REVERENDO JOSÉ NOGUERA,26,46017,VALENCIA,València,963781491,,"39,44382","-0,392396"
46021952,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL GESMIL,EI 1er CICLE MUNICIPAL GESMIL,Púb.,CL,TRINQUETE,5,46940,MANISES,València,961520709,961547126,"39,49157","-0,461544"
03015580,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL LES FONTANELLES,EI 1er CICLE MUNICIPAL LES FONTANELLES,Púb.,AV,DEL MUNICIPI,18 B,3502,BENIDORM,Alacant,965856802,966830561,"38,54686","-0,122679"
03015592,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL DON HONORIO,EI 1er CICLE MUNICIPAL DON HONORIO,Púb.,CL,SAX,5,3205,ELX,Alacant,965446227,965446227,"38,27485","-0,719839"
03015609,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL DON JULIO,EI 1er CICLE MUNICIPAL DON JULIO,Púb.,CL,SAX,1,3205,ELX,Alacant,965446219,965446219,"38,27718","-0,716524"
03015610,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL ROSA FERNÁNDEZ,EI 1er CICLE MUNICIPAL ROSA FERNÁNDEZ,Púb.,CL,TARONGER,47,3203,ELX,Alacant,965454744,965454744,"38,2629","-0,679864"
46024311,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL DE SENYERA,EI 1er CICLE MUNICIPAL DE SENYERA,Púb.,CL,MAXIMILIANO MILLÁN,55,46669,SENYERA,València,962451492,,"39,06186","-0,512141"
03015634,INSTITUTO DE EDUCACIÓN SECUNDARIA,,IES DE RAFAL,Púb.,CL,RAFAEL ALBERTI,S/N,3369,RAFAL,Alacant,966904755,966904756,"38,10148","-0,849612"
03015646,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VELES E VENTS,CEIP VELES E VENTS,Púb.,AV,DE LES CORTS VALENCIANES,1,3580,ALFÀS DEL PI (L'),Alacant,966870900,966870901,"38,57405","-0,096865"
03007546,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EL CARRASCAL,CEIP EL CARRASCAL,Púb.,CL,CALVARIO,8,3792,PARCENT,Alacant,966409945,966409946,"38,74598","-0,066519"
03011896,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EL TRINQUET,CEIP EL TRINQUET,Púb.,CL,CANONGE VALERIA COSTA,7,3750,PEDREGUER,Alacant,966428875,966428876,"38,7924","0,030963"
03010351,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LA FOIA,CEIP LA FOIA,Púb.,CL,VENEZUELA,1,3610,PETRER,Alacant,966957350,966957351,"38,48295","-0,766822"
03007698,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,9 D'OCTUBRE,CEIP 9 D'OCTUBRE,Púb.,AV,BASSA PERICO,11,3610,PETRER,Alacant,966957340,966957341,"38,47805","-0,773219"
03007704,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,REYES CATÓLICOS,CEIP REYES CATÓLICOS,Púb.,CL,VILLAFRANQUEZA,S/N,3610,PETRER,Alacant,966957370,966957371,"38,48567","-0,781753"
03010363,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VIRREY POVEDA,CEIP VIRREY POVEDA,Púb.,CL,VIRREY POVEDA,20,3610,PETRER,Alacant,966957355,966957356,"38,48112","-0,777626"
03007790,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANTA CATALINA,CEIP SANTA CATALINA,Púb.,CL,SANCHIS GUARNER,S/N,3650,PINÓS (EL),Alacant,966957380,966957381,"38,40722","-1,039212"
03007881,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANT ROC,CEIP SANT ROC,Púb.,CL,PARTIDA TEROL,S/N,3520,POLOP,Alacant,966870925,966870926,"38,61256","-0,13584"
03007947,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,SAGRADOS CORAZONES,CEIP SAGRADOS CORAZONES,Púb.,CL,JUAN XXIII,S/N,3370,REDOVÁN,Alacant,966904270,966904271,"38,11345","-0,908121"
03008460,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CERVANTES,CEIP CERVANTES,Púb.,CL,AZORÍN,1,3630,SAX,Alacant,966957445,966957446,"38,53479","-0,818458"
03008526,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,AUSIÀS MARCH,CEIP AUSIÀS MARCH,Púb.,CL,REVOLTES,20,3779,POBLETS (ELS) SETLA,Alacant,966428845,966428846,"38,85051","0,018947"
03001544,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,AUSIÀS MARCH,CEIP AUSIÀS MARCH,Púb.,CL,CERES,S/N,3009,ALACANT,Alacant,965919030,965919031,"38,36005","-0,494025"
03009683,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,AZORÍN,CEIP AZORÍN,Púb.,CL,BIOLOGO KONRAD LORENZ,5,3015,ALACANT,Alacant,965932510,965932511,"38,36379","-0,470628"
12004710,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,CENTRE ESTUDIS MUSICALS D'ONDA,CENTRE ENS. PROFESSIONALS DE MÚSICA C. EST. MUSICALS D'ONDA,Priv.,CL,DE LA CONCEPCIÓN,62,12200,ONDA,Castelló,964033884,964033884,"39,96388","-0,26758"
12004722,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",EL PEIXET,CENTRE PRIVAT EL PEIXET,Priv.,CM,"PEÑISCOLA, KM. 3 .PDA. MEZQUITA",,12598,PENÍSCOLA,Castelló,964472920,,"40,39126","0,405614"
12003286,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,KINDER PARK,CENTRE PRIV. ED. INF. 1er CICLE KINDER PARK,Priv.,CL,ERMITA,234,12540,VILA-REAL,Castelló,964522029,,"39,95003","-0,10924"
03009051,INSTITUT D'EDUCACIÓ SECUNDÀRIA,LA MALLADETA,IES LA MALLADETA,Púb.,CL,DIPUTADA ÁNGELA LLINARES,1,3570,VILA JOIOSA (LA),Alacant,966870145,966870146,"38,51279","-0,227618"
12001356,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JAUME I,CEIP JAUME I,Púb.,CM,VELL D'ALCORA,15,12006,CASTELLÓ DE LA PLANA,Castelló,964739380,964739381,"39,98687","-0,053714"
03008915,INSTITUT D'EDUCACIÓ SECUNDÀRIA,MARCOS ZARAGOZA,IES MARCOS ZARAGOZA,Púb.,CL,FERROCARRIL,22,3570,VILA JOIOSA (LA),Alacant,966870140,966870141,"38,50478","-0,241195"
03008666,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,INMACULADA CONCEPCIÓN,CEIP INMACULADA CONCEPCIÓN,Púb.,CL,ORIHUELA,69,3181,TORREVIEJA,Alacant,966926715,966926716,"37,98156","-0,687053"
03008678,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,VIRGEN DEL CARMEN,CEIP VIRGEN DEL CARMEN,Púb.,CL,TABARCA,S/N,3183,TORREVIEJA,Alacant,965290120,965290121,"37,99101","-0,670126"
